Channel,Index,Value
Left,373,0.5734
Left,374,0.697
Left,375,0.409
Left,376,0.5771
Left,377,0.5123
Left,378,0.7169
Left,379,0.4211
Left,380,0.422
Left,381,0.4499
Left,382,0.3014
Left,383,0.4651
Left,384,0.4456
Left,385,0.5404
Left,386,0.5633
Left,387,0.7205
Left,388,0.6316
Left,389,0.4825
Left,390,0.454
Left,391,0.5967
Left,392,0.419
Left,393,0.7378
Left,394,0.6761
Left,395,0.5147
Left,396,0.3937
Left,397,0.7038
Left,398,0.5603
Left,399,0.6989
Left,400,0.419
Left,401,0.5217
Left,402,0.5854
Left,403,0.5927
Left,404,0.5462
Left,405,0.6565
Left,406,0.4906
Left,407,0.5861
Left,408,0.6153
Left,409,0.6577
Left,410,0.6803
Left,411,0.4995
Left,412,0.4614
Left,413,0.7453
Left,414,0.6535
Left,415,0.5481
Left,416,0.7808
Left,417,0.6398
Left,418,0.7487
Left,419,0.6401
Left,420,0.8419
Left,421,0.8138
Left,422,0.6157
Left,423,0.7401
Left,424,0.7098
Left,425,0.7844
Left,426,0.5532
Left,427,0.7205
Left,428,0.7598
Left,429,0.4802
Left,430,0.5398
Left,431,0.4561
Left,432,0.6351
Left,433,0.7356
Left,434,0.816
Left,435,0.6749
Left,436,0.8321
Left,437,0.533
Left,438,0.5023
Left,439,0.6687
Left,440,0.7142
Left,441,0.674
Left,442,0.472
Left,443,0.6713
Left,444,0.5511
Left,445,0.7499
Left,446,0.7208
Left,447,0.5914
Left,448,0.6352
Left,449,0.5818
Left,450,0.6825
Left,451,0.7853
Left,452,0.5922
Left,453,0.7421
Left,454,0.6396
Left,455,0.6141
Left,456,0.6835
Left,457,0.5914
Left,458,0.6403
Left,459,0.5765
Left,460,0.8933
Left,461,0.7009
Left,462,0.6279
Left,463,0.7197
Left,464,0.6875
Left,465,0.6769
Left,466,0.7607
Left,467,0.7753
Left,468,0.6467
Left,469,0.6423
Left,470,0.6725
Left,471,0.4698
Left,472,0.5485
Left,473,0.8366
Left,474,0.8643
Left,475,0.6747
Left,476,0.7571
Left,477,0.7303
Left,478,0.99
Left,479,0.8105
Left,480,0.6853
Left,481,0.6021
Left,482,0.5365
Left,483,0.7169
Left,484,0.6203
Left,485,0.553
Left,486,0.6299
Left,487,0.5856
Left,488,0.8617
Left,489,0.7803
Left,490,0.6904
Left,491,0.8383
Left,492,0.697
Left,493,0.6021
Left,494,0.8394
Left,495,0.7398
Left,496,0.581
Left,497,0.6645
Left,498,0.5946
Left,499,0.5426
Left,500,0.7721
Left,501,0.869
Left,502,0.5367
Left,503,0.7313
Left,504,0.6083
Left,505,0.6231
Left,506,0.6109
Left,507,0.582
Left,508,0.6714
Left,509,0.5817
Left,510,0.69
Left,511,0.656
Left,512,0.6351
Left,513,0.5663
Left,514,0.5973
Left,515,0.7284
Left,516,0.7008
Left,517,0.5508
Left,518,0.6563
Left,519,0.7192
Left,520,0.4748
Left,521,0.6937
Left,522,0.5707
Left,523,0.6916
Left,524,0.5557
Left,525,0.449
Left,526,0.4641
Left,527,0.6291
Left,528,0.6476
Left,529,0.5285
Left,530,0.68
Left,531,0.4472
Left,532,0.6039
Left,533,0.4865
Left,534,0.5395
Left,535,0.6065
Left,536,0.5127
Left,537,0.5573
Left,538,0.6933
Left,539,0.5318
Left,540,0.67
Left,541,0.4702
Left,542,0.6329
Left,543,0.7208
Left,544,0.3262
Left,545,0.4903
Left,546,0.6244
Left,547,0.5429
Left,548,0.5969
Left,549,0.4959
Left,550,0.5614
Left,551,0.5336
Left,552,0.6624
Left,553,0.5674
Left,554,0.5721
Left,555,0.4934
Left,556,0.4821
Left,557,0.4839
Left,558,0.5628
Left,559,0.4774
Left,560,0.5446
Left,561,0.7193
Left,562,0.5949
Left,563,0.4713
Left,564,0.62
Left,565,0.4551
Left,566,0.288
Left,567,0.3869
Left,568,0.2966
Left,569,0.4444
Left,570,0.4772
Left,571,0.6388
Left,572,0.4996
Left,573,0.4408
Left,574,0.5414
Left,575,0.233
Left,576,0.4734
Left,577,0.5226
Left,578,0.2933
Left,579,0.5511
Left,580,0.4662
Left,581,0.3863
Left,582,0.4867
Left,583,0.646
Left,584,0.4326
Left,585,0.4347
Left,586,0.3594
Left,587,0.3158
Left,588,0.4792
Left,589,0.306
Left,590,0.3941
Left,591,0.3345
Left,592,0.4255
Left,593,0.4063
Left,594,0.472
Left,595,0.3125
Left,596,0.3318
Left,597,0.2562
Left,598,0.3049
Left,599,0.3822
Left,600,0.4154
Left,601,0.2427
Left,602,0.417
Left,603,0.4608
Left,604,0.3617
Left,605,0.5032
Left,606,0.2333
Left,607,0.1813
Left,608,0.123
Left,609,0.4456
Left,610,0.3565
Left,611,0.2806
Left,612,0.3092
Left,613,0.1637
Left,614,0.5159
Left,615,0.2793
Left,616,0.2724
Left,617,0.329
Left,618,0.2996
Left,619,0.2689
Left,620,0.1625
Left,621,0.2837
Left,622,0.4198
Left,623,0.3611
Left,624,0.3809
Left,625,0.1655
Left,626,0.1126
Left,627,0.194
Left,628,0.2072
Left,629,0.3128
Left,630,0.0392
Left,631,0.3664
Left,632,0.2026
Left,633,0.1807
Left,634,0.1272
Left,635,0.0679
Left,636,0.3207
Left,637,0.2507
Left,638,0.1193
Left,639,0.1238
Left,640,0.2247
Left,641,0.4301
Left,642,0.2422
Left,643,0.1228
Left,644,0.2535
Left,645,0.2557
Left,646,0.0183
Left,647,0.2874
Left,648,0.2747
Left,649,0.3723
Left,650,0.4925
Left,651,0.4251
Left,652,0.2904
Left,653,0.2115
Left,654,0.5843
Left,655,0.3378
Left,656,0.338
Left,657,0.339
Left,658,0.366
Left,659,0.3366
Left,660,0.2984
Left,661,0.3058
Left,662,0.362
Left,663,0.3156
Left,664,0.3034
Left,665,0.39
Left,666,0.3585
Left,667,0.539
Left,668,0.1281
Left,669,0.507
Left,670,0.527
Left,671,0.1996
Left,672,0.3773
Left,673,0.3789
Left,674,0.2798
Left,675,0.3472
Left,676,0.3184
Left,677,0.6091
Left,678,0.5319
Left,679,0.5699
Left,680,0.5192
Left,681,0.3385
Left,682,0.4032
Left,683,0.5089
Left,684,0.342
Left,685,0.5398
Left,686,0.4486
Left,687,0.4394
Left,688,0.5521
Left,689,0.5296
Left,690,0.4531
Left,691,0.6092
Left,692,0.3892
Left,693,0.5629
Left,694,0.5646
Left,695,0.4783
Left,696,0.5458
Left,697,0.3919
Left,698,0.6133
Left,699,0.5062
Left,700,0.4762
Left,701,0.6371
Left,702,0.4655
Left,703,0.3988
Left,704,0.3876
Left,705,0.6075
Left,706,0.4225
Left,707,0.7295
Left,708,0.3494
Left,709,0.7307
Left,710,0.5856
Left,711,0.5582
Left,712,0.5168
Left,713,0.6145
Left,714,0.5741
Left,715,0.6915
Left,716,0.5958
Left,717,0.6026
Left,718,0.5543
Left,719,0.5881
Left,720,0.6276
Left,721,0.4288
Left,722,0.468
Left,723,0.6801
Left,724,0.6258
Left,725,0.5931
Left,726,0.6162
Left,727,0.6519
Left,728,0.5659
Left,729,0.5447
Left,730,0.6448
Left,731,0.53
Left,732,0.6712
Left,733,0.4627
Left,734,0.7383
Left,735,0.6851
Left,736,0.6658
Left,737,0.7408
Left,738,0.8114
Left,739,0.7486
Left,740,0.4653
Left,741,0.5236
Left,742,0.5912
Left,743,0.6583
Left,744,0.7095
Left,745,0.5872
Left,746,0.6804
Left,747,0.5881
Left,748,0.6043
Left,749,0.5266
Left,750,0.5767
Left,751,0.5355
Left,752,0.5748
Left,753,0.7794
Left,754,0.5806
Left,755,0.9403
Left,756,0.7279
Left,757,0.6985
Left,758,0.5955
Left,759,0.7527
Left,760,0.6264
Left,761,0.6974
Left,762,0.9424
Left,763,0.6779
Left,764,0.8035
Left,765,0.6193
Left,766,0.6871
Left,767,0.8686
Left,768,0.6298
Left,769,0.8745
Left,770,0.7649
Left,771,0.6386
Left,772,0.7588
Left,773,0.7934
Left,774,0.7589
Left,775,0.5403
Left,776,0.6251
Left,777,0.6735
Left,778,0.6912
Left,779,0.761
Left,780,0.717
Left,781,0.566
Left,782,0.7377
Left,783,0.7609
Left,784,0.7559
Left,785,0.8081
Left,786,0.7834
Left,787,0.7459
Left,788,0.6928
Left,789,0.5336
Left,790,0.7424
Left,791,0.72
Left,792,0.7261
Left,793,0.5709
Left,794,0.59
Left,795,0.803
Left,796,0.6932
Left,797,0.7648
Left,798,0.6989
Left,799,0.6984
Left,800,0.7885
Left,801,0.6423
Left,802,0.7027
Left,803,0.646
Left,804,0.6479
Left,805,0.6595
Left,806,0.7116
Left,807,0.6405
Left,808,0.8129
Left,809,0.5967
Left,810,0.6663
Left,811,0.6397
Left,812,0.8271
Left,813,0.7007
Left,814,0.7829
Left,815,0.5297
Left,816,0.7035
Left,817,0.7642
Left,818,0.6819
Left,819,0.7786
Left,820,0.6186
Left,821,0.8096
Left,822,0.8968
Left,823,0.6288
Left,824,0.6187
Left,825,0.8066
Left,826,0.8173
Left,827,0.6051
Left,828,0.6133
Left,829,0.625
Left,830,0.5166
Left,831,0.557
Left,832,0.5463
Left,833,0.5676
Left,834,0.6386
Left,835,0.6632
Left,836,0.7924
Left,837,0.5351
Left,838,0.7308
Left,839,0.6085
Left,840,0.6224
Left,841,0.6922
Left,842,0.5097
Left,843,0.6576
Left,844,0.6332
Left,845,0.663
Left,846,0.6399
Left,847,0.8536
Left,848,0.5414
Left,849,0.5491
Left,850,0.5369
Left,851,0.5407
Left,852,0.5294
Left,853,0.7089
Left,854,0.7289
Left,855,0.5266
Left,856,0.4972
Left,857,0.6244
Left,858,0.5187
Left,859,0.6339
Left,860,0.5875
Left,861,0.4122
Left,862,0.7151
Left,863,0.7364
Left,864,0.4921
Left,865,0.511
Left,866,0.5748
Left,867,0.576
Left,868,0.6048
Left,869,0.7362
Left,870,0.5138
Left,871,0.4479
Left,872,0.386
Left,873,0.447
Left,874,0.5129
Left,875,0.6918
Left,876,0.4567
Left,877,0.5269
Left,878,0.4989
Left,879,0.6153
Left,880,0.7452
Left,881,0.4353
Left,882,0.4353
Left,883,0.5846
Left,884,0.5442
Left,885,0.6565
Left,886,0.526
Left,887,0.4274
Left,888,0.5182
Left,889,0.5657
Left,890,0.5326
Left,891,0.4969
Left,892,0.5485
Left,893,0.5543
Left,894,0.5712
Left,895,0.4934
Left,896,0.4074
Left,897,0.4343
Left,898,0.5358
Left,899,0.3289
Left,900,0.4429
Left,901,0.3622
Left,902,0.3998
Left,903,0.5201
Left,904,0.4068
Left,905,0.3877
Left,906,0.2424
Left,907,0.4483
Left,908,0.4335
Left,909,0.5806
Left,910,0.3288
Left,911,0.3767
Left,912,0.375
Left,913,0.503
Left,914,0.3309
Left,915,0.3636
Left,916,0.3916
Left,917,0.3447
Left,918,0.2765
Left,919,0.3357
Left,920,0.4188
Left,921,0.2039
Left,922,0.315
Left,923,0.2268
Left,924,0.4114
Left,925,0.1346
Left,926,0.2261
Left,927,0.3148
Left,928,0.4287
Left,929,0.2606
Left,930,0.2067
Left,931,0.4454
Left,932,0.1075
Left,933,0.0274
Left,934,0.2863
Left,935,0.1871
Left,936,0.1302
Left,937,0.2982
Left,938,0.2468
Left,939,0.161
Left,940,0.0844
Left,941,0.2946
Left,942,0.2674
Left,943,0.1927
Left,944,0.3923
Left,945,0.1056
Left,946,0.0651
Left,947,0.1534
Left,948,0.223
Left,949,0.2569
Left,950,0.2135
Left,951,0.2778
Left,952,0.1224
Left,953,0.3969
Left,954,0.2493
Left,955,0.3742
Left,956,0.3017
Left,957,0.318
Left,958,0.3343
Left,959,0.327
Left,960,0.3514
Left,961,0.425
Left,962,0.3166
Left,963,0.3728
Left,964,0.2978
Left,965,0.4557
Left,966,0.2489
Left,967,0.5015
Left,968,0.3222
Left,969,0.188
Left,970,0.3487
Left,971,0.2726
Left,972,0.4295
Left,973,0.285
Left,974,0.3104
Left,975,0.1708
Left,976,0.3193
Left,977,0.1268
Left,978,0.2155
Left,979,0.4546
Left,980,0.4618
Left,981,0.4304
Left,982,0.2958
Left,983,0.3923
Left,984,0.4013
Left,985,0.2904
Left,986,0.5611
Left,987,0.5031
Left,988,0.3977
Left,989,0.427
Left,990,0.4496
Left,991,0.229
Left,992,0.4129
Left,993,0.3738
Left,994,0.3462
Left,995,0.4226
Left,996,0.6348
Left,997,0.5234
Left,998,0.4064
Left,999,0.5251
Left,1000,0.6119
Left,1001,0.5687
Left,1002,0.4863
Left,1003,0.4198
Left,1004,0.5584
Left,1005,0.532
Left,1006,0.5862
Left,1007,0.5642
Left,1008,0.6096
Left,1009,0.4551
Left,1010,0.6443
Left,1011,0.5362
Left,1012,0.7278
Left,1013,0.4552
Left,1014,0.7015
Left,1015,0.5514
Left,1016,0.4702
Left,1017,0.4907
Left,1018,0.5107
Left,1019,0.5888
Left,1020,0.6022
Left,1021,0.4961
Left,1022,0.5546
Left,1023,0.7747
Left,1024,0.7367
Left,1025,0.611
Left,1026,0.5745
Left,1027,0.5861
Left,1028,0.6387
Left,1029,0.4783
Left,1030,0.5581
Left,1031,0.4202
Left,1032,0.6301
Left,1033,0.658
Left,1034,0.548
Left,1035,0.7568
Left,1036,0.4798
Left,1037,0.4589
Left,1038,0.6307
Left,1039,0.7158
Left,1040,0.7823
Left,1041,0.5708
Left,1042,0.7273
Left,1043,0.6183
Left,1044,0.6075
Left,1045,0.7158
Left,1046,0.6952
Left,1047,0.4749
Left,1048,0.7827
Left,1049,0.7755
Left,1050,0.5773
Left,1051,0.6818
Left,1052,0.6939
Left,1053,0.6728
Left,1054,0.594
Left,1055,0.584
Left,1056,0.6508
Left,1057,0.7727
Left,1058,0.7118
Left,1059,0.6224
Left,1060,0.7386
Left,1061,0.3784
Left,1062,0.78
Left,1063,0.493
Left,1064,0.6325
Left,1065,0.5585
Left,1066,0.5426
Left,1067,0.7898
Left,1068,0.6285
Left,1069,0.7115
Left,1070,0.6736
Left,1071,0.7275
Left,1072,0.6888
Left,1073,0.5542
Left,1074,0.7834
Left,1075,0.6356
Left,1076,0.5305
Left,1077,0.6445
Left,1078,0.8385
Left,1079,0.7745
Left,1080,0.6556
Left,1081,0.6565
Left,1082,0.6601
Left,1083,0.9008
Left,1084,0.7322
Left,1085,0.7377
Left,1086,0.7984
Left,1087,0.7199
Left,1088,0.6708
Left,1089,0.6776
Left,1090,0.6906
Left,1091,0.6944
Left,1092,0.7713
Left,1093,0.7041
Left,1094,0.7725
Left,1095,0.6914
Left,1096,0.7075
Left,1097,0.5
Left,1098,0.7916
Left,1099,0.7346
Left,1100,0.7998
Left,1101,0.4103
Left,1102,0.9087
Left,1103,0.6857
Left,1104,0.8103
Left,1105,0.5953
Left,1106,0.7602
Left,1107,0.5933
Left,1108,0.6358
Left,1109,0.8892
Left,1110,0.6782
Left,1111,0.7185
Left,1112,0.7831
Left,1113,0.7451
Left,1114,0.7098
Left,1115,0.7305
Left,1116,0.9336
Left,1117,0.6867
Left,1118,0.7116
Left,1119,0.7956
Left,1120,0.8001
Left,1121,0.8073
Left,1122,0.7513
Left,1123,0.572
Left,1124,0.8485
Left,1125,0.5693
Left,1126,0.7129
Left,1127,0.6059
Left,1128,0.6735
Left,1129,0.7114
Left,1130,0.7091
Left,1131,0.7177
Left,1132,0.8353
Left,1133,0.7177
Left,1134,0.6462
Left,1135,0.7653
Left,1136,0.7861
Left,1137,0.5426
Left,1138,0.7232
Left,1139,0.7317
Left,1140,0.6299
Left,1141,0.7952
Left,1142,0.6406
Left,1143,0.6661
Left,1144,0.6341
Left,1145,0.6508
Left,1146,0.5374
Left,1147,0.5008
Left,1148,0.8019
Left,1149,0.5554
Left,1150,0.5386
Left,1151,0.4199
Left,1152,0.5689
Left,1153,0.498
Left,1154,0.7919
Left,1155,0.7261
Left,1156,0.5536
Left,1157,0.845
Left,1158,0.7152
Left,1159,0.5818
Left,1160,0.3615
Left,1161,0.8376
Left,1162,0.4667
Left,1163,0.4382
Left,1164,0.702
Left,1165,0.8407
Left,1166,0.7321
Left,1167,0.6469
Left,1168,0.6469
Left,1169,0.6696
Left,1170,0.6569
Left,1171,0.6059
Left,1172,0.5849
Left,1173,0.5648
Left,1174,0.4923
Left,1175,0.5363
Left,1176,0.3916
Left,1177,0.5476
Left,1178,0.455
Left,1179,0.44
Left,1180,0.5648
Left,1181,0.6823
Left,1182,0.6313
Left,1183,0.3788
Left,1184,0.4331
Left,1185,0.6224
Left,1186,0.4263
Left,1187,0.4983
Left,1188,0.5719
Left,1189,0.4161
Left,1190,0.5196
Left,1191,0.3717
Left,1192,0.441
Left,1193,0.5291
Left,1194,0.3338
Left,1195,0.5331
Left,1196,0.483
Left,1197,0.5361
Left,1198,0.4991
Left,1199,0.6089
Left,1200,0.4808
Left,1201,0.4211
Left,1202,0.472
Left,1203,0.5098
Left,1204,0.4561
Left,1205,0.4509
Left,1206,0.3723
Left,1207,0.3718
Left,1208,0.2934
Left,1209,0.6042
Left,1210,0.3004
Left,1211,0.3511
Left,1212,0.344
Left,1213,0.5008
Left,1214,0.3773
Left,1215,0.527
Left,1216,0.3303
Left,1217,0.4209
Left,1218,0.3049
Left,1219,0.5983
Left,1220,0.2604
Left,1221,0.4054
Left,1222,0.4331
Left,1223,0.4064
Left,1224,0.3418
Left,1225,0.3426
Left,1226,0.3552
Left,1227,0.3313
Left,1228,0.4376
Left,1229,0.5575
Left,1230,0.2759
Left,1231,0.1898
Left,1232,0.3131
Left,1233,0.5751
Left,1234,0.2319
Left,1235,0.4713
Left,1236,0.4702
Left,1237,0.2422
Left,1238,0.3495
Left,1239,0.4506
Left,1240,0.2449
Left,1241,0.2575
Left,1242,0.2148
Left,1243,0.1665
Left,1244,0.1981
Left,1245,0.1357
Left,1246,0.2565
Left,1247,0.1711
Left,1248,0.2665
Left,1249,0.0826
Left,1250,0.2662
Left,1251,0.3115
Left,1252,0.0238
Left,1253,0.2556
Left,1254,0.336
Left,1255,0.0872
Left,1256,0.3704
Left,1257,0.2437
Left,1258,0.1363
Left,1259,0.2062
Left,1260,0.2726
Left,1261,0.2294
Left,1262,0.2807
Left,1263,0.1397
Left,1264,0.2537
Left,1265,0.1004
Left,1266,0.2356
Left,1267,0.1613
Left,1268,0.1831
Left,1269,0.3853
Left,1270,0.3757
Left,1271,0.3325
Left,1272,0.1673
Left,1273,0.2498
Left,1274,0.4077
Left,1275,0.3055
Left,1276,0.5281
Left,1277,0.3404
Left,1278,0.3252
Left,1279,0.28
Left,1280,0.3291
Left,1281,0.3054
Left,1282,0.3963
Left,1283,0.426
Left,1284,0.2565
Left,1285,0.2068
Left,1286,0.1611
Left,1287,0.4003
Left,1288,0.2439
Left,1289,0.1437
Left,1290,0.4026
Left,1291,0.6178
Left,1292,0.3725
Left,1293,0.4617
Left,1294,0.3907
Left,1295,0.3773
Left,1296,0.4837
Left,1297,0.3674
Left,1298,0.4277
Left,1299,0.4377
Left,1300,0.3433
Left,1301,0.5138
Left,1302,0.4016
Left,1303,0.348
Left,1304,0.4817
Left,1305,0.3427
Left,1306,0.4397
Left,1307,0.4404
Left,1308,0.5543
Left,1309,0.4975
Left,1310,0.4518
Left,1311,0.5404
Left,1312,0.6019
Left,1313,0.5229
Left,1314,0.4724
Left,1315,0.3443
Left,1316,0.3732
Left,1317,0.4533
Left,1318,0.427
Left,1319,0.4733
Left,1320,0.5017
Left,1321,0.553
Left,1322,0.497
Left,1323,0.5566
Left,1324,0.5184
Left,1325,0.3183
Left,1326,0.4257
Left,1327,0.5091
Left,1328,0.4063
Left,1329,0.591
Left,1330,0.6879
Left,1331,0.6604
Left,1332,0.5208
Left,1333,0.6948
Left,1334,0.5642
Left,1335,0.5192
Left,1336,0.4951
Left,1337,0.5297
Left,1338,0.5246
Left,1339,0.5839
Left,1340,0.5862
Left,1341,0.5738
Left,1342,0.6205
Left,1343,0.6992
Left,1344,0.6783
Left,1345,0.438
Left,1346,0.3343
Left,1347,0.6862
Left,1348,0.4592
Left,1349,0.5764
Left,1350,0.4849
Left,1351,0.4246
Left,1352,0.6619
Left,1353,0.6865
Left,1354,0.5558
Left,1355,0.3572
Left,1356,0.5644
Left,1357,0.6609
Left,1358,0.4765
Left,1359,0.6453
Left,1360,0.628
Left,1361,0.69
Left,1362,0.6466
Left,1363,0.5398
Left,1364,0.7591
Left,1365,0.626
Left,1366,0.6414
Left,1367,0.5531
Left,1368,0.6043
Left,1369,0.5624
Left,1370,0.6357
Left,1371,0.8262
Left,1372,0.5199
